ID,SONG,DOT1,DISC1,DOT2,DISC2,DOUBLE,DOT,DISC,SINGLE,ABI
guowanghuanghou 国王皇后,国王皇后,A392,"【开始】右滑条尾+左滑点后，爆双直条
【结束】左三散点",B843,"【开始】左滑条尾+右滑点后，爆双直条
【结束】右三散点",65,A392,"【开始】右滑条尾+左滑点后，爆双直条
【结束】左三散点",32,1
gushuhuixiang 古蜀回响,古蜀回响,A169,"【开始】左滑条按住2cb爆。
【结束】左单点。",B660,"【开始】右滑条按住2cb爆。
【结束】右单点。",59,A169,"【开始】左滑条按住2cb爆。
【结束】左单点。",30,1
hackingtothegate hacking to the gate,Hacking to the Gate,A572,"【开始】左短滑条拖住,爆滑条尾&右长滑点。(存)
【结束】A段结束,右长滑点尾。",B858,"【开始】间奏,左右各一次滑条后,845左直条接住,爆右单点。
【结束】右直条尾&左单点。",73,B858,"【开始】间奏,左右各一根滑条后,854左直条按住,爆右单点
【结束】左滑点中(3/5)",36,1
hairtie hair tie,hair tie,B543,"【开始】左滑条后，爆右单点。
【结束】左滑点。",B648,"【开始】右直条后，爆第三组滑点（左）。
【结束】右单点。",65,B543,"【开始】左滑条后，爆右单点。
【结束】左滑点。",34,1
hallommig hall om mig,Hair om ming,B449,"【开始】446左滑条按住3cb爆。
【结束】散点结束（右）。",B633,"【开始】628左到右散点后，爆左滑点。
【结束】左滑条中。",64,B633,"【开始】628左到右散点后，爆左滑点。
【结束】左滑条中。",32,1
haowubaoliu 毫无保留,毫不保留,A313,"【开始】308右滑条后，爆左滑条。
【结束】左滑条中。",B392,"【开始】387左滑条后，爆右滑条。
【结束】左滑点。",56,B392,"【开始】387左滑条后，爆右滑条。
【结束】左滑点。",28,1
haoxiangbaozhuni 好像抱住你,好想抱住你,A314,"【开始】307右直条后，左滑条按2cb爆
【结束】右滑点结束",B682,"【开始】675左直条后，右滑条按2cb爆
【结束】左滑点结束",61,B682,"【开始】675左直条后，右滑条按2cb爆
【结束】左滑点结束",30,1
haoxiangdashengshuoxihuanni 好想大声说喜欢你,好想大声说喜欢你,A235,"【开始】导歌中,231左滑条拖住,爆滑条尾&右直条。
【结束】右五个单点。",B943,"【开始】副歌中,939双长滑条,拖4cb爆,难。
【结束】右滑条&左单点后,双点。(备注)",85,A235,"【开始】导歌中,231左滑条拖住,爆滑条尾&右直条
【结束】右五个单点。",44,1
heartshaker heart shaker,Heart Shaker,B868,"【开始】右拐条后，爆左三连点
【结束】右滑点结束",B1343,"【开始】1335右滑点后，过左直条，爆右滑条
【结束】右拐条头",76.1,B1343,"【开始】1335右滑点后，过左直条，爆右滑条
【结束】右拐条头",38.1,1
herewithyou here with you,Here With You,B449,"【开始】左两个短滑点后，爆第二个单点:左下单点.
【结束】左下二连点第一-个.",B547,"【开始】左下短滑点后，爆右下短滑点.
【结束】三组双点.",68,B547,"【开始】左下短滑点后.爆右下短滑点.
【结束】三组双点.",35,2
heybabynishiwode hey baby你是我的,Hey Baby 你是我的,B574,"【开始】B开爆左短滑点。
【结束】右两次滑点后,第三个单点。右单点。",B1096,"【开始】副歌中,右四连点,爆第二个。
【结束】左滑点尾。(备注)",84,B574,"【开始】B开,爆左短滑点
【结束】右两次滑点后,第三个单点,右单点。",42,1
History,History,A292,"【开始】288右直条按住，爆条尾+左二连点
【结束】第2组双压",B712,"【开始】708左直条按住，爆条尾+右二连点
【结束】第2组双压",90,A292,"【开始】288右直条按住，爆条尾+左二连点
【结束】第2组双压",45,1
huanghun 黄昏,黄昏,A274,"【开始】270左滑点后，爆双压
【结束】最后一组双压",B839,"【开始】387双压后，爆左拐条+右点
【结束】第2组双压",75,B839,"【开始】387双压后，爆左拐条+右点
【结束】第2组双压",39,1
huanxiang 幻想,幻想,B291,"【开始】左斜三连点后，过空气，爆偏右斜二连点
【结束】右斜三连点",B409,"【开始】右滑点后，爆左单点
【结束】左单点",61.4,B291,"【开始】左斜三连点后，过空气，爆偏右斜二连点
【结束】右斜三连点",30.7,2
huanyoushikong 环游时空,环游时空,A87,"【开始】78右滑条后，爆左单点。
【结束】右滑条&左直条。",B428,"【开始】419左滑条后，爆右单点。
【结束】左滑条&右直条。",63,B428,"【开始】419左滑条后，爆右单点。
【结束】左滑条&右直条。",32,1
huohua 火花,火花,A321,"【开始】导歌,288双直条后,第三个滑条(左)拖一半爆。
【结束】连续三组双点。",B903,"【开始】女声副歌第二次左二连点后,爆右单点。
【结束】左长滑点尾&右单点。",79,A321,"【开始】导歌,288双直条后,第三个滑条(左)拖一半爆
【结束】连续三组双点。",40,1
iknewyouweretrouble i knew you were trouble,I Know You Were Trouble,B639,"【开始】副歌开,""knewuwere""后爆连续双点。
【结束】双直条中。",B782,"【开始】副歌中,双长滑条后,第一次双点后,爆左单点
【结束】连续五组双点,第五组。",101,B782,"【开始】副歌中,双长滑条后,第一次双点后,爆左单点。
【结束】连续五组双点,第五组。",51,1
inmyzone in my zone,In My Zone,A239,"【开始】右长滑条后，爆双压。
【结束】右滑点中。",B590,"【开始】双长滑条。
【结束】右滑点中。",67,B590,"【开始】双长滑条。
【结束】右滑点中。",35,1
intothenight into the night,Into the night,B264,【开始】261右短滑点后，爆左点&右滑条。                                            【结束】右三连点。,B445,【开始】437左滑点后，左滑条按住爆第二个点。                                                       【结束】右滑结束+左单点。,70,B445,【开始】437左滑点后，左滑条按住爆第二个点。                                                       【结束】右滑结束+左单点。,36,2
iwantmytearsback i want my tears back,I Want My Tears Back,B633,"【开始】间奏中,右二连点后,爆第三个单点,左单点。
【结束】右第二次长滑点尾",B745,"【开始】右短滑点后,爆左长滑点。(接近双爆)
【结束】左长滑点后,右短滑点尾。(备注)",95,B633,"【开始】间奏中,右二连点后,爆第三个单点,左单点。
【结束】右第二次长滑点尾。",49,1
jellyjelly jelly jelly,JELLY JELLY,A322,"【开始】二次导歌。右二连点后。爆左二连点。
【结束】两次二连点后,双点。",B572,"【开始】桥段最后,双点后,爆左直条&右长滑点。
【结束】两次二连点后,左滑条头。",87,B572,"【开始】桥段最后,双点后,爆左直条&右长滑点。
【结束】两次二连点后,左滑条头。",48,1
jiamianwuhui 假面舞会,假面舞会,A20,"【开始】右二连点后，爆左二连点
【结束】左二连点",B718,"【开始】左直条后，爆右滑点
【结束】右滑点",58.8,B718,"【开始】左直条后，爆右滑点
【结束】右滑点",29.7,1
