ID,SONG,DOT1,DISC1,DOT2,DISC2,DOUBLE,DOT,DISC,SINGLE,ABI
skaterboy skater boy,Skater  Boy,B398,"【开始】偏右上6长绿条按住，爆条尾。（左上123连点)
【结束】左4蓝条结束+右5绿条头。(快结束）",B468,"【开始】右4蓝条后，爆左下5.6.7.8三连点接蓝条。
【结束】右7蓝条结束+左下1点。",75,B398,"【开始】偏右上6绿条按住，爆条尾。
【结束】左4蓝条结束+右5绿条头。",39,1
skipskip skip skip,Skip  Skip,A175,"【开始】中左上4单点后，爆中左向右5.6.7连点。
【结束】右上9蓝条尾(B376下方5.6连点同分）",B232,"【开始】B开右手1蓝条。
【结束】左手8-10连点的8号单点。",60,B232,"【开始】B开右手1蓝条。
【结束】左手8-10连点的8号单点。",32,1
sky sky,Sky,A60,"【开始】右上⑥⑦⑧连点后，爆左下⑨左滑蓝条。
【结束】右下⑤单点。",B280,"【开始】上方第二个短绿条按住，爆左下角③左滑蓝条。
【结束】右下角”∞“形②蓝条前5cb。",67,B280,"【开始】上方第二个短绿条按住，爆左下角③左滑蓝条。
【结束】右下角”∞“形②蓝条前5cb。",34,2
someday someday,someday,A128,"【开始】右下4点后，爆左上123连点。（存）
【结束】右下6点。",B228,"【开始】右下4点后，爆左上123连点的2号点。
【结束】右下1蓝条尾。",48,B191,"【开始】左下1点后，爆中间2点。
【结束】右上678连点。",24,1
sometimes sometimes,Sometimes,A43,"【开始】右上①单点后，爆右下②③④点点蓝。
【结束】右手⑤长蓝条尾。",B172,"【开始】下方①②散点后，爆左上③单点。
【结束】右上②单点。",57,A43,"【开始】右上①单点后，爆右下②③④点点蓝。
【结束】右手⑤长蓝条尾。",30,2
sorrysorry sorry sorry,Sorry Sorry,A171,"【开始】右①②③④四连点后，爆左⑤⑥⑦⑧折线向下四连点
【结束】左⑤⑥⑦⑧四连点的⑤单点",B339,"【开始】右①②③④四连点后，爆左⑤⑥⑦⑧折线向下四连点
【结束】右⑤⑥⑦⑧四连点的⑤单点",82,A171,"【开始】右①②③④四连点后，爆左⑤⑥⑦⑧折线向下四连点
【结束】左⑤⑥⑦⑧四连点的⑤单点",41,2
sparklingdaydream sparkling daydream,Sparkling Daydream,B462,"【开始】下方⑧-⑧双绿后，爆两侧⑨-⑨内滑双蓝。
【结束】右上③④⑤连点头。（双排同分）",B658,"【开始】左手①-③连点后，爆右手④-⑥连点。（左手按）
【结束】右手②转圈蓝条5/7。（双排同分）（备注）",66,B658,"【开始】左手①-③连点后，爆右手④-⑥连点。（左手按）
【结束】右手②转圈蓝条5/7。（双排同分）（备注）",33,1
stand stand,STAND,A164,"【开始】上方4单点后，爆右上5单点。
【结束】中间11蓝条尾。",B449,"【开始】下方4单点后，爆左下5单点。
【结束】中间11蓝条尾。",60,A164,"【开始】上方4单点后，爆右上5单点。
【结束】中间11蓝条尾。",30,1
stay stay,STAY,A146,"【开始】左下1.2.3.4点点点绿后，爆右下5单点。
【结束】中下偏右9.10.11三连点。",A200,"【开始】右上1.2.3.4点点点绿后，爆左上5单点。
【结束】中上偏左9.10.11三连点。",61.8,A200,"【开始】右上1.2.3.4点点点绿后，爆左上5单点。（A146同分）
【结束】中上偏左9.10.11三连点。",30.9,1
strong strong,STRONG,A142,"【开始】右8绿条后，爆左上向右蓝条
【结束】左上4蓝条结束。",B649,"【开始】左上10绿条按住，爆结尾+偏右1.2.3斜向下三连点。
【结束】右上6.7连点。",66,B649,"【开始】左上10绿条按住，爆结尾+偏右1.2.3斜向下三连点。
【结束】右上6.7连点。",34,1
summeroflove summer of love,Summer  Of  Love,A126,"【开始】右上1号绿条后，爆左上2号点
【结束】中左7号点",B177,"【开始】左下1号绿条后，爆右下2号点
【结束】中右7号点",48,A126,"【开始】右上1号绿条后，爆左上2号点
【结束】中左7号点",24,2
sunny sunny,SUNNY,B209,"【开始】左4绿条后，爆右上向下567连点。
【结束】右上2单点。",B237,"【开始】右上3绿条后，爆爆左上45连点。
【结束】右上9单点。",46,B209,"【开始】左4绿条后，爆右上向下567连点。
【结束】右上2单点。",23,2
sweetdreams sweet dreams,Sweet Dreams,A94,"【开始】左上6单点后，爆右下7单点
【结束】右上3单点",B278,"【开始】右下8绿条后，爆左上9.10.11点点绿
【结束】右上7单点，歌曲结束",41,A94,"【开始】左上6单点后，爆右下7单点
【结束】右上3单点",20.6,2
sweettalker sweet talker,SWEET TALKER,A268,"【开始】左上⑦⑧连点后，爆右下向上①-⑤连点。
【结束】左下⑥起手连点的⑥号点。（备注）",B610,"【开始】上方⑯双绿和左下①单点后，爆右下右滑②蓝条。
【结束】左下⑲长绿按住，吃右手菱形⑳蓝条6/7。（备注）",87,A268,"【开始】左上⑦⑧连点后，爆右下向上①-⑤连点。
【结束】左下⑥起手连点的⑥号点。（备注）",46,1
ta 她,她,A249,"【开始】右下4绿条后，爆左下5单点。
【结束】A段结束：右手4-7连点。（存）",B297,"【开始】左下5绿条后，爆右下6单点。
【结束】右上8绿条头。",55,A227,"【开始】中左上9单点后，爆左上10下滑蓝条。
【结束】左下3绿条头。（B306右下4上滑蓝条同分）",27,1
takeit take it,Take  It,A181,"【开始】偏右下6点后，爆右7点。
【结束】右3.4连点结束。",B226,"【开始】右10点后，爆左上1点，。
【结束】6绿条头。",51,B226,"【开始】右10点后，爆左上1点，。
【结束】6绿条头。",26,1
tao 讨,讨,A58,"【开始】中左下5点6绿后，爆右上7蓝条。
【结束】中左上78连点。",B255,"【开始】左下7点后，爆中左下8绿条。
【结束】右下9蓝条。",55,B255,"【开始】左下7点后，爆中左下8绿条。
【结束】右下9蓝条。",28,2
taotai 淘汰,淘汰,A31,"【开始】爆开局第二根蓝条：左下⑩右滑蓝条。
【结束】左手⑥蓝条头。（非满分）（备注）",B135,"【开始】爆B开：左手①上滑蓝条。
【结束】中间⑤⑥连点。",58,A34,"【开始】爆开局第二根蓝条：左下⑩右滑蓝条。
【结束】左手⑥蓝条头。（非满分）（备注）",32,2
taoyan 讨厌,讨厌,A58,"【开始】中左下5.6点绿后，爆右上7蓝条。
【结束】右手6蓝条后，中左上7.8连点结束。",B255,"【开始】左下7点后，中左下8绿条按住1cb爆气。
【结束】右下9蓝条结束。",47,B255,"【开始】左下7点后，中左下8绿条按住1cb爆气。
【结束】右下9蓝条结束。",24,1
tashouheng 他守恒,他守恒,A120,"【开始】左“︿”型4绿条后，爆中下偏右1单点，后接“？”型2蓝条。（建议左手）
【结束】左下7单点。",B293,"【开始】左3.4连点后，爆中上偏右5单点，后接“∝”型6蓝条。（建议左手）
【结束】左9蓝条结束+右1单点。",55.3,B293,"【开始】左3.4连点后，爆中上偏右5单点，后接“∝”型6蓝条。（建议左手）
【结束】左9蓝条结束+右1单点。",27.8,1
